School,Year,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Air Force,2012-2013,32,18,14,0.563,4.06,4.16,,8,8,,13,2,,3,11,,2241,2170,,64.8,104.2,0.365,0.413,0.543,54.2,59.9,8.6,10.2,0.515,17.1,33.4,0.246
Akron NCAA,2012-2013,33,26,7,0.788,8.12,0.18,,14,2,,15,1,,7,4,,2369,2071,,66.4,93.1,0.344,0.297,0.486,48.1,49.5,10.3,8.1,0.443,17.4,33.2,0.245
Alabama,2012-2013,36,23,13,0.639,9.82,5.96,,12,6,,16,4,,4,8,,2268,2102,,62.3,92.8,0.325,0.322,0.491,53.4,48.1,8.9,10.4,0.454,19.6,37.0,0.226
Alabama A&M,2012-2013,31,11,20,0.355,-18.41,-9.82,,6,12,,7,6,,3,12,,1957,2160,,67.4,102.1,0.373,0.266,0.523,53.1,49.8,10.8,8.7,0.493,15.7,35.4,0.246
Alabama State,2012-2013,32,10,22,0.313,-17.90,-9.03,,8,10,,7,5,,3,14,,1979,2231,,67.0,103.2,0.379,0.342,0.523,53.3,54.9,11.7,8.3,0.491,16.7,38.5,0.252
Albany (NY) NCAA,2012-2013,35,24,11,0.686,-0.86,-4.51,,9,7,,11,4,,11,5,,2251,2123,,62.8,96.3,0.278,0.346,0.507,51.1,46.6,9.6,10.1,0.483,17.3,32.4,0.182
Alcorn State,2012-2013,34,10,24,0.294,-14.27,-7.11,,8,10,,5,8,,4,14,,2055,2248,,69.0,95.4,0.468,0.325,0.490,54.7,49.6,9.8,9.0,0.445,16.3,38.1,0.309
American,2012-2013,30,10,20,0.333,-8.55,-2.52,,5,9,,7,6,,3,14,,1735,1916,,59.4,106.2,0.279,0.352,0.537,51.4,59.9,10.8,11.1,0.513,13.6,29.7,0.189
Appalachian State,2012-2013,31,15,16,0.484,-7.88,-5.74,,10,8,,10,4,,4,11,,2211,2221,,68.3,102.5,0.341,0.294,0.537,52.4,50.1,10.6,8.6,0.505,17.0,33.7,0.236
Arizona NCAA,2012-2013,35,27,8,0.771,17.31,7.48,,12,6,,14,2,,7,4,,2570,2226,,66.8,94.9,0.329,0.309,0.504,47.3,49.2,9.2,9.3,0.466,17.4,29.2,0.234
