Conference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Northeast Conference,2001-2002,12,154,193,0.444,-12.35,-9.26,0,1,0,Central Connecticut State,Central Connecticut State
Big West Conference,2001-2002,10,146,144,0.503,-1.78,-0.63,0,1,0,UC Irvine Utah State,UC Santa Barbara
Colonial Athletic Association,2001-2002,10,151,149,0.503,-2.61,-1.98,0,1,0,UNC Wilmington,UNC Wilmington
Western Athletic Conference,2001-2002,10,170,145,0.540,3.15,2.47,0,2,0,Hawaii Tulsa,Hawaii
Big Sky Conference,2001-2002,8,116,115,0.502,-5.15,-2.55,0,1,0,Montana State,Montana
Ivy League,2001-2002,8,118,109,0.520,-4.39,-3.90,0,1,0,Pennsylvania Princeton Yale,
Missouri Valley Conference,2001-2002,10,150,154,0.493,0.26,0.82,0,2,0,Creighton Southern Illinois,Creighton
Ohio Valley Conference,2001-2002,9,132,138,0.489,-5.63,-2.39,0,1,0,Tennessee Tech,Murray State
Mid-American Conference,2001-2002,13,204,196,0.510,0.29,0.91,0,1,0,Kent State (East) Ball State (West),Kent State
Patriot League,2001-2002,8,108,127,0.460,-8.15,-6.39,0,1,0,American,Holy Cross
Independent,2001-2002,3,39,47,0.453,-11.23,-1.85,0,0,0,,
Atlantic Sun Conference,2001-2002,11,155,162,0.489,-6.81,-4.83,0,1,0,Georgia State Troy,Florida Atlantic
Southern Conference,2001-2002,12,189,162,0.538,-1.79,-1.01,0,1,0,Davidson (North) East Tennessee State (North) UNC Greensboro (North) Chattanooga (South) College of Charleston (South) Georgia Southern (South),Davidson
Metro Atlantic Athletic Conference,2001-2002,10,135,163,0.453,-5.68,-4.86,0,1,0,Marist Rider,Siena
Southland Conference,2001-2002,11,148,168,0.468,-9.23,-6.45,0,1,0,McNeese State,McNeese State
Southwest Athletic Conference,2001-2002,10,119,171,0.410,-18.07,-12.14,0,1,0,Alcorn State,Alcorn State
Big South Conference,2001-2002,8,96,140,0.407,-12.63,-6.83,0,1,0,UNC Asheville Winthrop,Winthrop
Mid-Eastern Athletic Conference,2001-2002,11,137,189,0.420,-12.55,-8.20,0,1,0,Hampton,Hampton
America East Conference,2001-2002,9,110,153,0.418,-12.26,-8.70,0,1,0,Boston University Vermont,Boston University
Mid-Continent Conference,2001-2002,8,117,119,0.496,-2.79,-1.40,0,1,0,Valparaiso,ValparaisoConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pacific-10 Conference,2002-2003,10,170,132,0.563,9.82,7.72,1,5,0,Arizona,Oregon
Big Ten Conference,2002-2003,11,200,146,0.578,10.68,7.66,1,5,0,Wisconsin,Illinois
Southeastern Conference,2002-2003,12,220,145,0.603,12.95,8.58,0,6,0,Kentucky (East),Kentucky
West Coast Conference,2002-2003,8,122,115,0.515,1.28,1.45,0,2,0,Gonzaga,San Diego
Atlantic 10 Conference,2002-2003,12,184,174,0.514,4.28,3.98,1,3,0,Saint Joseph's (East) Xavier (West),Dayton
Big East Conference,2002-2003,14,262,179,0.594,11.03,7.13,0,4,1,Boston College (East) Connecticut (East) Pittsburgh (West) Syracuse (West),Pittsburgh
Horizon League,2002-2003,9,142,131,0.520,0.66,0.54,0,2,0,Butler,Milwaukee
Conference USA,2002-2003,14,231,187,0.553,7.22,5.44,0,4,1,Marquette (American) Memphis (National),Louisville
Big 12 Conference,2002-2003,12,238,146,0.620,12.95,8.21,0,6,2,Kansas,Oklahoma
Atlantic Coast Conference,2002-2003,9,170,111,0.605,12.75,7.83,0,4,0,Wake Forest,Duke
Big Sky Conference,2002-2003,8,115,118,0.494,-3.31,-1.73,0,1,0,Weber State,Weber State
Mountain West Conference,2002-2003,8,147,101,0.593,6.39,4.10,0,3,0,Brigham Young Utah,Colorado State
Missouri Valley Conference,2002-2003,10,148,152,0.493,1.60,1.69,0,2,0,Southern Illinois,Creighton
Mid-American Conference,2002-2003,13,196,188,0.510,0.47,0.92,0,1,0,Kent State (East) Central Michigan (West),Central Michigan
Ohio Valley Conference,2002-2003,9,132,131,0.502,-5.77,-3.13,0,1,0,Austin Peay Morehead State,Austin Peay
Sun Belt Conference,2002-2003,11,172,154,0.528,0.88,0.50,0,1,0,Western Kentucky (East) Louisiana (West),Western Kentucky
Western Athletic Conference,2002-2003,10,154,143,0.519,0.94,1.23,0,1,0,Fresno State,Tulsa
Colonial Athletic Association,2002-2003,10,141,148,0.488,-2.77,-2.57,0,1,0,UNC Wilmington,UNC Wilmington
Patriot League,2002-2003,8,112,118,0.487,-7.13,-5.70,0,1,0,Holy Cross,Holy Cross
Southern Conference,2002-2003,12,180,174,0.508,-5.59,-3.45,0,1,0,Appalachian State (North) Davidson (North) East Tennessee State (North) College of Charleston (South),East Tennessee State
Atlantic Sun Conference,2002-2003,12,171,178,0.490,-7.40,-5.47,0,1,0,Belmont (North) Mercer (South) Troy (South),Troy
Ivy League,2002-2003,8,100,119,0.457,-5.08,-3.54,0,1,0,Pennsylvania,
Big West Conference,2002-2003,10,138,151,0.478,-2.94,-1.54,0,1,0,UC Santa Barbara,Utah State
Metro Atlantic Athletic Conference,2002-2003,10,146,147,0.498,-3.20,-2.54,0,1,0,Manhattan,Manhattan
Northeast Conference,2002-2003,12,156,186,0.456,-10.80,-8.21,0,1,0,Wagner,Wagner
Southland Conference,2002-2003,11,147,163,0.474,-9.08,-6.53,0,1,0,Sam Houston,Sam Houston
Independent,2002-2003,6,58,114,0.337,-16.02,-5.96,0,0,0,,
Big South Conference,2002-2003,8,105,126,0.455,-13.22,-8.84,0,1,0,Winthrop,UNC Asheville
Mid-Continent Conference,2002-2003,8,105,131,0.445,-6.03,-3.13,0,1,0,Valparaiso,IU Indy
America East Conference,2002-2003,9,126,139,0.475,-6.77,-4.99,0,1,0,Boston University,Vermont
Southwest Athletic Conference,2002-2003,10,121,172,0.413,-13.82,-9.34,0,1,0,Prairie View Texas Southern,Texas Southern
Mid-Eastern Athletic Conference,2002-2003,11,130,188,0.409,-14.59,-10.32,0,1,0,South Carolina State,South Carolina StateConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
West Coast Conference,2003-2004,8,125,118,0.514,1.80,2.14,1,1,0,Gonzaga,Gonzaga
Big Ten Conference,2003-2004,11,188,147,0.561,8.22,6.43,1,3,0,Illinois,Wisconsin
Pacific-10 Conference,2003-2004,10,159,133,0.545,7.09,5.92,1,3,0,Stanford,Stanford
Southeastern Conference,2003-2004,12,227,138,0.622,11.76,7.28,0,6,0,Mississippi State (West),Kentucky
Big East Conference,2003-2004,14,274,171,0.616,10.18,6.62,1,6,1,Pittsburgh,Connecticut
Conference USA,2003-2004,14,235,180,0.566,6.80,4.70,0,6,0,Charlotte Cincinnati DePaul Memphis UAB,Cincinnati
Mountain West Conference,2003-2004,8,137,101,0.576,7.25,4.39,0,3,0,Air Force,Utah
Western Athletic Conference,2003-2004,10,171,141,0.548,5.60,4.24,0,2,0,Nevada UTEP,Nevada
Atlantic 10 Conference,2003-2004,12,198,174,0.532,4.54,3.95,0,4,0,Saint Joseph's (East) Dayton (West),Xavier
Atlantic Coast Conference,2003-2004,9,187,104,0.643,16.56,10.72,0,6,2,Duke,Maryland
Horizon League,2003-2004,9,131,134,0.494,-0.49,0.14,0,1,0,Milwaukee,Illinois-Chicago
Atlantic Sun Conference,2003-2004,11,155,163,0.487,-7.06,-4.87,0,1,0,Troy,UCF
Ohio Valley Conference,2003-2004,11,153,165,0.481,-5.70,-3.28,0,1,0,Austin Peay,Murray State
Big Sky Conference,2003-2004,8,108,121,0.472,-4.31,-2.16,0,1,0,Eastern Washington,Eastern Washington
Missouri Valley Conference,2003-2004,10,159,141,0.530,3.40,2.49,0,2,0,Southern Illinois,Northern Iowa
Mid-American Conference,2003-2004,13,195,191,0.505,0.27,0.52,0,1,0,Kent State (East) Western Michigan (West),Western Michigan
Colonial Athletic Association,2003-2004,10,148,146,0.503,-0.47,-0.62,0,1,0,Virginia Commonwealth,Virginia Commonwealth
Sun Belt Conference,2003-2004,11,160,151,0.514,-2.67,-1.75,0,1,0,Little Rock (East) Louisiana (West),Louisiana
Mid-Continent Conference,2003-2004,9,125,141,0.470,-3.39,-1.33,0,1,0,Valparaiso,Valparaiso
Big 12 Conference,2003-2004,12,224,150,0.599,10.70,6.83,0,4,1,Oklahoma State,Oklahoma State
Big South Conference,2003-2004,9,120,140,0.462,-9.92,-6.72,0,1,0,Birmingham-Southern Liberty,Liberty
Big West Conference,2003-2004,10,144,144,0.500,-1.08,-0.31,0,1,0,Pacific Utah State,Pacific
Patriot League,2003-2004,8,109,122,0.472,-9.79,-7.00,0,1,0,American Lehigh,Lehigh
Ivy League,2003-2004,8,91,127,0.417,-6.54,-4.20,0,1,0,Princeton,
Southern Conference,2003-2004,12,181,171,0.514,-5.27,-3.43,0,1,0,East Tennessee State (North) College of Charleston (South) Davidson (South) Georgia Southern (South),East Tennessee State
Metro Atlantic Athletic Conference,2003-2004,10,142,156,0.477,-4.03,-2.83,0,1,0,Manhattan,Manhattan
Northeast Conference,2003-2004,11,146,170,0.462,-9.72,-7.50,0,1,0,Monmouth St. Francis (NY),Monmouth
Independent,2003-2004,4,36,74,0.327,-11.89,-2.55,0,0,0,,
Southland Conference,2003-2004,11,154,165,0.483,-9.38,-6.37,0,1,0,Southeastern Louisiana UT Arlington UTSA,UTSA
America East Conference,2003-2004,10,142,153,0.481,-8.11,-6.67,0,1,0,Boston University,Vermont
Southwest Athletic Conference,2003-2004,10,119,169,0.413,-15.90,-11.27,0,1,0,Alabama State Mississippi Valley State,Alabama State
Mid-Eastern Athletic Conference,2003-2004,11,125,196,0.389,-13.74,-9.43,0,1,0,Coppin State South Carolina State,Florida A&MConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big Ten Conference,2004-2005,11,207,145,0.588,11.36,8.27,1,5,2,Illinois,Illinois
Pacific-10 Conference,2004-2005,10,181,128,0.586,8.80,6.71,1,4,0,Arizona,Washington
Southeastern Conference,2004-2005,12,227,153,0.597,11.06,6.82,1,5,0,Kentucky (East),Florida
Big East Conference,2004-2005,12,224,143,0.610,11.42,7.21,1,6,0,Boston College Connecticut,Syracuse
West Coast Conference,2004-2005,8,142,103,0.580,3.62,2.42,1,2,0,Gonzaga,Gonzaga
Atlantic Coast Conference,2004-2005,11,221,132,0.626,14.50,9.07,0,5,1,North Carolina,Duke
Conference USA,2004-2005,14,254,190,0.572,6.16,4.19,0,4,1,Louisville,Louisville
Mountain West Conference,2004-2005,8,136,108,0.557,6.01,4.29,0,2,0,Utah,New Mexico
Mid-American Conference,2004-2005,13,210,180,0.538,2.96,2.49,0,1,0,Miami (OH) (East) Toledo (West) Western Michigan (West),Ohio
Atlantic 10 Conference,2004-2005,12,166,189,0.468,0.16,1.51,0,1,0,Saint Joseph's (East) George Washington (West),George Washington
Missouri Valley Conference,2004-2005,10,177,134,0.569,6.19,4.30,0,3,0,Southern Illinois,Creighton
Horizon League,2004-2005,9,127,134,0.487,-1.01,0.43,0,1,0,Milwaukee,Milwaukee
Sun Belt Conference,2004-2005,11,171,156,0.523,-0.97,-0.12,0,1,0,Little Rock (East) Denver (West),Louisiana
Southland Conference,2004-2005,11,162,156,0.509,-7.19,-4.72,0,1,0,Northwestern State Southeastern Louisiana,Southeastern Louisiana
America East Conference,2004-2005,10,145,147,0.497,-4.80,-3.92,0,1,0,Vermont,Vermont
Big 12 Conference,2004-2005,12,226,144,0.611,12.25,7.96,0,6,0,Kansas Oklahoma,Oklahoma State
Western Athletic Conference,2004-2005,10,162,144,0.529,2.50,1.72,0,2,0,Nevada,UTEP
Patriot League,2004-2005,8,111,122,0.476,-6.85,-4.73,0,1,0,Holy Cross,Bucknell
Ohio Valley Conference,2004-2005,11,150,169,0.470,-6.52,-3.82,0,1,0,Tennessee Tech,Eastern Kentucky
Southern Conference,2004-2005,12,183,174,0.513,-5.97,-3.72,0,1,0,Chattanooga (North) Davidson (South),Chattanooga
Colonial Athletic Association,2004-2005,10,150,150,0.500,-3.17,-2.48,0,1,0,Old Dominion,Old Dominion
Atlantic Sun Conference,2004-2005,11,152,166,0.478,-10.38,-7.72,0,1,0,Gardner-Webb UCF,UCF
Big South Conference,2004-2005,9,124,140,0.470,-10.31,-6.86,0,1,0,Winthrop,Winthrop
Ivy League,2004-2005,8,105,115,0.477,-5.38,-4.11,0,1,0,Pennsylvania,
Northeast Conference,2004-2005,11,138,177,0.438,-10.58,-7.50,0,1,0,Monmouth,FDU
Big Sky Conference,2004-2005,8,105,123,0.461,-8.00,-5.10,0,1,0,Portland State,Montana
Metro Atlantic Athletic Conference,2004-2005,10,133,160,0.454,-4.94,-3.64,0,1,0,Niagara Rider,Niagara
Independent,2004-2005,4,39,74,0.345,-13.01,-4.20,0,0,0,,
Southwest Athletic Conference,2004-2005,10,119,169,0.413,-17.20,-11.81,0,1,0,Alabama A&M,Alabama A&M
Big West Conference,2004-2005,10,149,150,0.498,-1.77,-0.79,0,2,0,Pacific,Utah State
Mid-Eastern Athletic Conference,2004-2005,11,136,189,0.418,-14.13,-9.64,0,1,0,Delaware State,Delaware State
Mid-Continent Conference,2004-2005,9,121,143,0.458,-4.88,-1.66,0,1,0,Oral Roberts,OaklandConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Big Ten Conference,2005-2006,11,213,133,0.616,10.32,6.66,1,6,0,Ohio State,Iowa
Pacific-10 Conference,2005-2006,10,181,135,0.573,10.43,7.55,0,4,1,UCLA,UCLA
Atlantic Coast Conference,2005-2006,12,238,147,0.618,11.53,6.40,1,4,0,Duke,Duke
Big East Conference,2005-2006,16,309,194,0.614,11.23,7.13,0,8,0,Connecticut Villanova,Syracuse
West Coast Conference,2005-2006,8,118,117,0.502,1.87,2.63,1,1,0,Gonzaga,Gonzaga
Missouri Valley Conference,2005-2006,10,179,133,0.574,6.60,4.68,0,4,0,Wichita State,Southern Illinois
Southeastern Conference,2005-2006,12,240,149,0.617,11.01,6.96,0,6,2,Louisiana State (West),Florida
Mountain West Conference,2005-2006,9,152,124,0.551,5.02,3.53,0,2,0,San Diego State,San Diego State
Conference USA,2005-2006,12,191,169,0.531,0.31,0.29,1,2,0,Memphis,Memphis
Horizon League,2005-2006,9,138,134,0.507,-1.47,-0.33,0,1,0,Milwaukee,Milwaukee
Mid-American Conference,2005-2006,12,185,177,0.511,-0.99,-0.42,0,1,0,Kent State (East) Northern Illinois (West),Kent State
Atlantic 10 Conference,2005-2006,14,218,201,0.520,2.66,1.93,0,2,0,George Washington,Xavier
Big 12 Conference,2005-2006,12,215,146,0.596,10.39,6.84,0,4,0,Kansas Texas,Kansas
Western Athletic Conference,2005-2006,9,142,131,0.520,2.11,2.23,0,2,0,Nevada,Nevada
America East Conference,2005-2006,9,113,148,0.433,-7.40,-4.90,0,1,0,Albany (NY),Albany (NY)
Big Sky Conference,2005-2006,8,125,110,0.532,-2.08,-1.15,0,1,0,Northern Arizona,Montana
Northeast Conference,2005-2006,11,147,173,0.459,-7.50,-5.72,0,1,0,FDU,Monmouth
Southland Conference,2005-2006,11,159,162,0.495,-5.97,-3.51,0,1,0,Northwestern State,Northwestern State
Atlantic Sun Conference,2005-2006,9,122,141,0.464,-10.96,-8.01,0,1,0,Belmont Lipscomb,Belmont
Sun Belt Conference,2005-2006,11,164,159,0.508,-2.39,-1.27,0,1,0,Western Kentucky (East) South Alabama (West),South Alabama
Colonial Athletic Association,2005-2006,12,196,172,0.533,0.82,0.35,0,2,1,George Mason UNC Wilmington,UNC Wilmington
Ohio Valley Conference,2005-2006,11,153,167,0.478,-7.83,-5.40,0,1,0,Murray State,Murray State
Big South Conference,2005-2006,9,130,131,0.498,-8.92,-6.13,0,1,0,Winthrop,Winthrop
Big West Conference,2005-2006,8,115,119,0.491,-3.03,-1.54,0,1,0,Pacific,Pacific
Metro Atlantic Athletic Conference,2005-2006,10,146,147,0.498,-1.74,-1.08,0,1,0,Manhattan,Iona
Southern Conference,2005-2006,11,166,163,0.505,-7.57,-4.96,0,1,0,Elon (North) Georgia Southern (South),Davidson
Patriot League,2005-2006,8,114,122,0.483,-7.23,-4.63,0,1,0,Bucknell,Bucknell
Southwest Athletic Conference,2005-2006,10,117,175,0.401,-14.16,-8.85,0,1,0,Southern,Southern
Independent,2005-2006,4,39,78,0.333,-14.84,-2.48,0,0,0,,
Ivy League,2005-2006,8,100,121,0.452,-7.23,-5.08,0,1,0,Pennsylvania,
Mid-Eastern Athletic Conference,2005-2006,11,129,207,0.384,-14.58,-8.87,0,1,0,Delaware State,Hampton
Mid-Continent Conference,2005-2006,9,114,149,0.433,-7.02,-3.69,0,1,0,IU Indy Oral Roberts,Oral RobertsConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
Pacific-10 Conference,2006-2007,10,202,131,0.607,11.26,7.92,0,6,1,UCLA,Oregon
Mountain West Conference,2006-2007,9,176,117,0.601,6.30,3.76,0,2,0,Brigham Young,Nevada-Las Vegas
Horizon League,2006-2007,9,149,140,0.516,0.30,1.16,1,2,0,Butler Wright State,Wright State
Big Ten Conference,2006-2007,11,226,143,0.612,11.95,7.59,0,6,1,Ohio State,Ohio State
Atlantic Coast Conference,2006-2007,12,256,150,0.631,14.34,8.62,0,7,0,North Carolina Virginia,North Carolina
West Coast Conference,2006-2007,8,122,132,0.480,-0.07,1.13,0,1,0,Gonzaga,Gonzaga
Mid-American Conference,2006-2007,12,186,194,0.489,-0.39,0.33,0,1,0,Akron (East) Toledo (West),Miami (OH)
Missouri Valley Conference,2006-2007,10,189,135,0.583,8.58,5.99,0,2,0,Southern Illinois,Creighton
Southeastern Conference,2006-2007,12,253,153,0.623,12.94,7.92,0,5,1,Florida (East),Florida
Big 12 Conference,2006-2007,12,239,153,0.610,10.25,5.93,0,4,0,Kansas,Kansas
Southern Conference,2006-2007,11,172,174,0.497,-4.70,-2.20,0,1,0,Appalachian State (North) Davidson (South),Davidson
Conference USA,2006-2007,12,208,172,0.547,2.70,1.33,0,1,0,Memphis,Memphis
Big East Conference,2006-2007,16,321,202,0.614,11.14,6.84,0,6,1,Georgetown,Georgetown
Western Athletic Conference,2006-2007,9,153,135,0.531,1.04,0.84,0,2,0,Nevada,New Mexico State
Atlantic 10 Conference,2006-2007,14,227,209,0.521,1.01,1.11,0,2,0,Massachusetts Xavier,George Washington
Atlantic Sun Conference,2006-2007,8,127,122,0.510,-8.15,-4.35,0,1,0,East Tennessee State,Belmont
America East Conference,2006-2007,9,129,147,0.467,-7.29,-5.42,0,1,0,Vermont,Albany (NY)
Big West Conference,2006-2007,8,129,118,0.522,-4.14,-2.74,0,1,0,Long Beach State,Long Beach State
Patriot League,2006-2007,8,123,123,0.500,-5.68,-3.68,0,1,0,Bucknell Holy Cross,Holy Cross
Ohio Valley Conference,2006-2007,11,155,189,0.451,-8.98,-5.99,0,1,0,Austin Peay,Eastern Kentucky
Northeast Conference,2006-2007,11,146,187,0.438,-9.23,-6.75,0,1,0,Central Connecticut State,Central Connecticut State
Big Sky Conference,2006-2007,8,123,121,0.504,-6.64,-3.22,0,1,0,Northern Arizona Weber State,Weber State
Independent,2006-2007,4,47,70,0.402,-10.57,-1.86,0,0,0,,
Ivy League,2006-2007,8,111,115,0.491,-6.13,-4.40,0,1,0,Pennsylvania,
Southland Conference,2006-2007,11,162,175,0.481,-8.40,-4.84,0,1,0,Northwestern State (East) Texas A&M-Corpus Christi (West),Texas A&M-Corpus Christi
Metro Atlantic Athletic Conference,2006-2007,10,147,169,0.465,-6.48,-4.58,0,1,0,Marist,Niagara
Mid-Continent Conference,2006-2007,8,118,133,0.470,-4.36,-2.48,0,1,0,Oral Roberts,Oral Roberts
Sun Belt Conference,2006-2007,13,197,209,0.485,-8.04,-5.18,0,1,0,South Alabama (East) Arkansas State (West) Louisiana-Monroe (West),North Texas
Colonial Athletic Association,2006-2007,12,188,192,0.495,-1.30,-0.47,0,2,0,Virginia Commonwealth,Virginia Commonwealth
Big South Conference,2006-2007,8,122,129,0.486,-6.24,-3.76,0,1,0,Winthrop,Winthrop
Mid-Eastern Athletic Conference,2006-2007,11,143,204,0.412,-14.23,-8.65,0,1,0,Delaware State,Florida A&M
Southwest Athletic Conference,2006-2007,10,126,182,0.409,-18.76,-11.43,0,1,0,Jackson State Mississippi Valley State,Jackson StateConference,Year,Schools,W,L,W-L%,SRS,SOS,AP,NCAA,FF,Regular Season Champ,Tournament Champ
West Coast Conference,2007-2008,8,122,135,0.475,-1.47,0.09,1,3,0,Gonzaga,San Diego
Pacific-10 Conference,2007-2008,10,207,133,0.609,11.70,7.75,0,6,1,UCLA,UCLA
Horizon League,2007-2008,10,169,150,0.530,0.68,1.38,1,1,0,Butler,Butler
Big 12 Conference,2007-2008,12,253,154,0.622,12.36,7.41,0,6,1,Kansas Texas,Kansas
Big Ten Conference,2007-2008,11,214,156,0.578,9.90,6.80,0,4,0,Wisconsin,Wisconsin
Conference USA,2007-2008,12,221,175,0.558,3.46,2.34,0,1,1,Memphis,Memphis
Southeastern Conference,2007-2008,12,244,157,0.608,9.92,6.08,0,6,0,Tennessee (East),Georgia
Atlantic 10 Conference,2007-2008,14,254,197,0.563,4.97,3.32,0,3,0,Xavier,Temple
Atlantic Coast Conference,2007-2008,12,248,153,0.618,12.32,7.97,0,4,1,North Carolina,North Carolina
Mid-American Conference,2007-2008,12,183,195,0.484,-0.78,0.51,0,1,0,Kent State (East) Western Michigan (West),Kent State
Missouri Valley Conference,2007-2008,10,184,145,0.559,5.36,3.82,0,1,0,Drake,Drake
Big East Conference,2007-2008,16,315,217,0.592,10.89,7.45,0,8,0,Georgetown,Pittsburgh
Western Athletic Conference,2007-2008,9,142,148,0.490,-3.45,-1.83,0,1,0,Boise State Nevada New Mexico State Utah State,Boise State
Mountain West Conference,2007-2008,9,165,126,0.567,3.96,1.95,0,2,0,Brigham Young,Nevada-Las Vegas
Atlantic Sun Conference,2007-2008,8,130,122,0.516,-6.82,-4.43,0,1,0,Belmont,Belmont
Ivy League,2007-2008,8,105,127,0.453,-7.75,-4.86,0,1,0,Cornell,
Southern Conference,2007-2008,11,173,177,0.494,-3.34,-1.47,0,1,0,Appalachian State (North) Chattanooga (North) Davidson (South),Davidson
Patriot League,2007-2008,8,125,119,0.512,-5.48,-4.97,0,1,0,American,American
Ohio Valley Conference,2007-2008,11,156,186,0.456,-9.69,-6.77,0,1,0,Austin Peay,Austin Peay
