Year,Winner,Loser,Score,Odds
1985,Boston College,Texas Tech,55–53,11 vs 6
1985,UTEP,Tulsa,79–75,11 vs 6
1985,Auburn,Purdue,59–58,11 vs 6
1986,LSU,Purdue,94–87OT,11 vs 6
1988,Rhode Island,Missouri,87–80,11 vs 6
1989,Minnesota,Kansas State,86–75,11 vs 6
1989,Evansville,Oregon State,94–90OT,11 vs 6
1989,South Alabama,Alabama,86–84,11 vs 6
1989,Texas,Georgia Tech,76–70,11 vs 6
1990,Loyola Marymount,New Mexico State,111–92,11 vs 6
1991,Creighton,New Mexico State,64–56,11 vs 6
1991,Connecticut,LSU,79–62,11 vs 6
1993,Tulane,Kansas State,55–53,11 vs 6
1994,Penn,Nebraska,90–80,11 vs 6
1995,Texas,Oregon,90–73,11 vs 6
1996,Boston College,Indiana,64–51,11 vs 6
1998,Washington,Xavier,69–68,11 vs 6
1998,Western Michigan,Clemson,75–72,11 vs 6
2000,Pepperdine,Indiana,77–57,11 vs 6
2001,Georgia State,Wisconsin,50–49,11 vs 6
2001,Temple,Texas,79–65,11 vs 6
2002,Wyoming,Gonzaga,73–68,11 vs 6
2002,Southern Illinois,Texas Tech,76–68,11 vs 6
2003,Central Michigan,Creighton,79–73,11 vs 6
2005,UAB,LSU,82–68,11 vs 6
2006,Milwaukee,Oklahoma,82–74,11 vs 6
2006,George Mason,Michigan State,75–65,11 vs 6
2007,Winthrop,Notre Dame,76–64,11 vs 6
2007,VCU,Duke,79–77,11 vs 6
2008,Kansas State,USC,80–67,11 vs 6
2009,Dayton,West Virginia,68–62,11 vs 6
2010,Washington,Marquette,80–78,11 vs 6
2010,Old Dominion,Notre Dame,51–50,11 vs 6
2011,Marquette,Xavier,66–55,11 vs 6
2011,VCU,Georgetown,74–56,11 vs 6
2011,Gonzaga,St. John's,86–71,11 vs 6
2012,Colorado,UNLV,68–64,11 vs 6
2012,North Carolina State,San Diego State,79–65,11 vs 6
2013,Minnesota,UCLA,83–63,11 vs 6
2014,Tennessee,UMass,86–67,11 vs 6
2014,Dayton,Ohio State,60–59,11 vs 6
2015,Dayton,Providence,66–53,11 vs 6
2015,UCLA,SMU,60–59,11 vs 6
2016,Northern Iowa,Texas,75–72,11 vs 6
2016,Gonzaga,Seton Hall,68–52,11 vs 6
2016,Wichita State,Arizona,65–55,11 vs 6
2017,Rhode Island,Creighton,84–72,11 vs 6
2017,USC,SMU,66–65,11 vs 6
2017,Xavier,Maryland,76–65,11 vs 6
2018,Loyola Chicago,Miami (FL),64–62,11 vs 6
2018,Syracuse,TCU,57–52,11 vs 6
2019,Ohio State,Iowa State,62–59,11 vs 6
2021,UCLA,BYU,73–62,11 vs 6
2021,Syracuse,San Diego State,78–62,11 vs 6
2022,Michigan,Colorado State,75–63,11 vs 6
2022,Notre Dame,Alabama,78–64,11 vs 6
2022,Iowa State,LSU,59–54,11 vs 6
2023,Pittsburgh,Iowa State,59–41,11 vs 6
2024,Duquesne,BYU,71–67,11 vs 6
2024,NC State,Texas Tech,80–67,11 vs 6
2024,Oregon,South Carolina,87–73,11 vs 6
